fid,x,y,class,uid
156.0,1582.2457,782.7785,car,99.0
156.0,1668.2272,1250.0547,car,100.0
157.0,1582.2457,782.7785,car,99.0
157.0,1672.8995,1250.6692,car,100.0
158.0,1581.8563,782.7912,car,99.0
158.0,1674.5641,1247.3192,car,100.0
159.0,1581.4669,782.80396,car,99.0
159.0,1673.941,1241.906,car,100.0
160.0,1581.4669,782.80396,car,99.0
160.0,1670.5349,1234.4054,car,100.0
161.0,1581.8563,782.7912,car,99.0
161.0,1666.6443,1226.9043,car,100.0
162.0,1582.2457,782.7785,car,99.0
162.0,1661.7688,1219.3453,car,100.0
163.0,1582.6354,782.76575,car,99.0
163.0,1657.6351,1213.6622,car,100.0
164.0,1583.025,782.753,car,99.0
164.0,1653.028,1207.9617,car,100.0
165.0,1582.1442,781.6787,car,99.0
165.0,1650.1438,1204.2053,car,100.0
166.0,1582.5334,781.66583,car,99.0
166.0,1647.2739,1200.4678,car,100.0
167.0,1581.654,780.59357,car,99.0
167.0,1642.2495,1194.8116,car,100.0
168.0,1580.776,779.52313,car,99.0
168.0,1639.9138,1191.1772,car,100.0
169.0,1579.8997,778.45483,car,99.0
169.0,1637.589,1187.5597,car,100.0
170.0,1580.2877,778.4415,car,99.0
170.0,1635.7675,1184.0125,car,100.0
171.0,1579.0248,777.3883,car,99.0
171.0,1633.954,1180.4806,car,100.0
172.0,1579.0248,777.3883,car,99.0
172.0,1632.1483,1176.9637,car,100.0
173.0,1578.6375,777.40173,car,99.0
173.0,1630.3501,1173.4618,car,100.0
174.0,1579.8997,778.45483,car,99.0
174.0,1628.5596,1169.9745,car,100.0
175.0,1580.776,779.52313,car,99.0
175.0,1627.2628,1166.5522,car,100.0
176.0,1579.9993,779.54944,car,99.0
176.0,1624.3582,1161.3451,car,100.0
177.0,1579.6112,779.5626,car,99.0
177.0,1621.9546,1156.2197,car,100.0
178.0,1579.2231,779.57574,car,99.0
178.0,1620.0463,1151.1729,car,100.0
179.0,1577.1869,778.54785,car,99.0
179.0,1620.2201,1147.965,car,100.0
180.0,1575.5421,777.50916,car,99.0
180.0,1617.8467,1142.9175,car,100.0
181.0,1575.1556,777.5226,car,99.0
181.0,1616.5903,1139.5996,car,100.0
182.0,1574.3832,777.5494,car,99.0
182.0,1615.3389,1136.2943,car,100.0
183.0,1575.6389,778.60095,car,99.0
183.0,1613.6171,1132.9575,car,100.0
184.0,1577.2845,779.6415,car,99.0
184.0,1612.3762,1129.678,car,100.0
185.0,1578.9344,780.6847,car,99.0
185.0,1613.1779,1128.1718,car,100.0
186.0,1580.9768,781.71735,car,99.0
186.0,1612.413,1124.9508,car,100.0
187.0,1583.025,782.753,car,99.0
187.0,1612.1229,1121.7831,car,100.0
188.0,1583.025,782.753,car,99.0
188.0,1611.3627,1118.5839,car,100.0
189.0,1582.6354,782.76575,car,99.0
189.0,1608.1156,1113.6248,car,100.0
190.0,1582.2457,782.7785,car,99.0
190.0,1603.3536,1107.0247,car,100.0
191.0,1581.8563,782.7912,car,99.0
191.0,1600.6222,1102.1803,car,100.0
192.0,1581.4669,782.80396,car,99.0
192.0,1599.4281,1099.0175,car,100.0
193.0,1581.4669,782.80396,car,99.0
193.0,1598.7003,1095.9031,car,100.0
194.0,1581.4669,782.80396,car,99.0
194.0,1598.4359,1092.8352,car,100.0
195.0,1583.1273,783.8545,car,99.0
195.0,1599.6879,1091.4128,car,100.0
196.0,1586.46,785.96295,car,99.0
196.0,1599.4227,1088.3574,car,100.0
197.0,1590.2017,788.06964,car,99.0
197.0,1598.6984,1085.2762,car,100.0
198.0,1592.2767,789.12115,car,99.0
198.0,1596.0132,1080.5554,car,100.0
199.0,1596.0482,791.24426,car,99.0
199.0,1594.841,1077.4685,car,100.0
200.0,1598.1393,792.3041,car,99.0
200.0,1589.7837,1071.1356,car,100.0
201.0,1598.5355,792.29254,car,99.0
201.0,1586.6991,1066.4712,car,100.0
202.0,1598.1393,792.3041,car,99.0
202.0,1581.7189,1060.2384,car,100.0
203.0,1599.4424,793.3898,car,99.0
203.0,1577.2301,1054.0914,car,100.0
204.0,1599.0457,793.4011,car,99.0
204.0,1570.8998,1046.4353,car,100.0
205.0,1598.649,793.41254,car,99.0
205.0,1566.504,1040.4111,car,100.0
206.0,1598.2524,793.42395,car,99.0
206.0,1559.8622,1032.885,car,100.0
207.0,1598.2524,793.42395,car,99.0
207.0,1553.7307,1025.4706,car,100.0
208.0,1597.8561,793.4353,car,99.0
208.0,1549.0479,1019.6087,car,100.0
209.0,1595.7642,792.3732,car,99.0
209.0,1546.6342,1015.30176,car,100.0
210.0,1593.2836,791.32587,car,99.0
210.0,1544.2347,1011.0201,car,100.0
211.0,1589.5228,789.20465,car,99.0
211.0,1540.491,1005.323,car,100.0
212.0,1585.7812,787.0941,car,99.0
212.0,1538.1263,1001.10046,car,100.0
213.0,1582.4491,784.9821,car,99.0
213.0,1534.4333,995.48334,car,100.0
214.0,1581.1786,783.9175,car,99.0
214.0,1528.606,988.47327,car,100.0
215.0,1582.3475,783.8797,car,99.0
215.0,1524.9869,982.96094,car,100.0
216.0,1584.7915,784.90735,car,99.0
216.0,1524.8467,980.2865,car,100.0
217.0,1588.9166,786.9965,car,99.0
217.0,1522.982,976.2263,car,100.0
218.0,1591.3811,788.0334,car,99.0
218.0,1521.1276,972.1881,car,100.0
219.0,1593.4586,789.0853,car,99.0
219.0,1519.2832,968.17163,car,100.0
220.0,1593.0646,789.0972,car,99.0
220.0,1517.449,964.177,car,100.0
221.0,1592.2767,789.12115,car,99.0
221.0,1513.5251,958.83673,car,100.0
222.0,1591.0958,789.1569,car,99.0
222.0,1511.7184,954.8939,car,100.0
223.0,1591.2037,790.2697,car,99.0
223.0,1509.9218,950.9723,car,100.0
224.0,1591.3121,791.3841,car,99.0
224.0,1508.1342,947.0713,car,100.0
225.0,1590.5243,791.40735,car,99.0
225.0,1505.9546,943.18066,car,100.0
